Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13, C16, C19, C22, C4, C7",0603,8,4.7uF,
"C11, C12, C14, C15, C17, C18, C2, C20, C21, C23, C24, C3, C5, C6, C8, C9",0603,16,100nF,
J1,Molex 10 Pin Flex 52207-1060,1,Conn_01x10_Pin,
"R1, R2",0603,2,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R4, R5, R6, R7, R8, R9",0603,35,47k,
U1,QFN40P260X180X55-16N,1,FXL6408UMX,
"U2, U3, U4, U5, U6, U7, U8, U9",IC17_LGA16_STM,8,VL53L7CXV0GC/1,
